file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1A99C,  できることなら｛  みのがしておくれよ…｛,42,Nếu được thì cứ tha cho tớ đi...,translated_meaning_batch02,
0x1A9CB,  「私も  あなたを｛    のがさないわぁー」｛,44,Tớ cũng không để cậu thoát đâu nhé!,translated_meaning_batch02,
0x1AA01,  ヒュー  にくいね｛  この  いろおとこ｛  ▼,44,Hú! Đúng là chàng đào hoa có khác.,translated_meaning_batch02,
0x1AA37,  じゃあ  はじめようか…｛,26,Vậy bắt đầu nhé...,translated_meaning_batch02,
0x1AA5B,  またしても  負けるとは…｛  キミも  ゆだんならないなぁ…｛  ▼,64,Lại thua nữa rồi... Cậu đúng là không thể lơ là được.,translated_meaning_batch02,
0x1AAA5,  これが  わたしの  ちから｛  なんだよ｛,40,Đây mới là thực lực của tớ đó.,translated_meaning_batch02,
0x1AAD5,  「アハハ」                      ｛  ▼  「いい気になる女  まる子｛    いつまで  わらっていられるのか｛    それは  神のみぞ知る」｛,132,"A ha ha! Maruko bắt đầu đắc ý rồi. Cô nàng còn cười được đến bao giờ, chỉ có trời mới biết.",translated_meaning_batch02,
0x1AB63,  やっぱり  わたしの運も｛  ここまでなのかナ？｛  ▼,52,Vậy là vận may của tớ cũng chỉ đến đây thôi sao?,translated_meaning_batch02,
0x1ABA1,  「ああ  ほんとうに              ｛    こんな人に  負けるなんて…」｛,70,"Trời ơi, thật tình... lại thua một người thế này...",translated_meaning_batch02,
0x1ABF1,  またしても  やってまいりましたね｛  ▼,40,Lại gặp nhau nữa rồi nhỉ.,translated_meaning_batch02,
0x1AC28,  うん  またしてもだよ            ｛,36,"Ừ, lại nữa đây.",translated_meaning_batch02,
0x1AC56,  「丸尾スエオ｛    プライドをかけて  こんどこそ  ｛    負けはしないでしょう！！」    ｛  ▼,92,"Maruo Sueo này xin đem cả lòng tự trọng ra cược, lần này nhất định không thua!!",translated_meaning_batch02,
0x1ACBA,  「フフフフ…」                  ｛  ▼,40,Hư hư hư...,translated_meaning_batch02,
0x1ACEF,  やったねー                      ｛  また勝ったよ  つよい  つよい！｛,70,"Yay! Lại thắng rồi! Mạnh ghê, mạnh ghê!",translated_meaning_batch02,
0x1AD3F,  「さ  さくらさんっ｛    代表を  ゆずったからには…｛  ▼    次の選挙では  私に一票｛    入れるのが  ズバリあなたの｛    義務でしょう！！」｛  ▼,146,"Sa-Sakura-san! Vì tôi đã nhường suất đại diện cho bạn... lần bầu cử tới, bỏ một phiếu cho tôi là nghĩa vụ của bạn, nói thẳng ra là vậy!!",translated_meaning_batch02,
0x1ADD9,  「フッフッフッフッフッフッ」    ｛,36,Hư hư hư hư hư hư...,translated_meaning_batch02,
0x1AE02,  「この人の  じんせいって｛    いったい…」｛  ▼,50,Đời người này rốt cuộc là thế nào vậy...,translated_meaning_batch02,
0x1AE41,  ズバリ！！                      ｛  あなたは身のほど知らずでしょう！｛  ▼,76,Nói thẳng ra!! Bạn thật không biết lượng sức!,translated_meaning_batch02,
0x1AE9A,  ヒェっ                          ｛  なにも  そこまで  いわなくても…｛,72,Hể!? Có cần nói đến mức đó không...,translated_meaning_batch02,
0x1AEEC,  まるちゃん  がんばったのに｛  そんないいかた  ヒドイよ｛  ▼,62,"Maru-chan đã cố gắng lắm rồi, nói vậy tệ quá!",translated_meaning_batch02,
0x1AF34,  そうだよ  エバっちゃって｛  やな丸尾くんだね｛,48,"Đúng đó, lên mặt ghê, Maruo-kun đáng ghét!",translated_meaning_batch02,
0x1AF6E,  ズバリ  そのとおりだよ｛  ▼,30,Nói thẳng ra... đúng là như vậy đấy!,translated_meaning_batch02,
0x1AF99,  何とっっ！？｛,16,Cái gì!?,translated_meaning_batch02,
0x1AFB3,  勝利者でありながら              ｛  この胸の痛みは！？              ｛,72,"Dù là người chiến thắng, sao ngực mình lại đau thế này!?",translated_meaning_batch02,
0x1B005,  さくらのヤツ｛  また  花輪くんと丸尾のヤツと｛  対戦するらしいぜ｛  ▼,72,Sakura lại sắp thi với Hanawa-kun và Maruo nữa đấy.,translated_meaning_batch02,
0x1B057,  南の島に  行くんだから｛  それくらいやったって｛  おかしくないブー｛  ▼,74,"Nó sắp đi đảo phương Nam rồi, làm cỡ đó cũng chẳng lạ đâu, buu.",translated_meaning_batch02,
0x1B0AB,  いわれてみれば  そうだよな｛  ▼,34,Nghe vậy thì cũng đúng ha.,translated_meaning_batch02,
0x1B0D7,  ブー                            ｛,36,Buu.,translated_meaning_batch02,
0x1B100,  「じゃあ  あんたたち｛    かわっておくれよぉー」｛,52,Vậy thì mấy cậu đổi chỗ cho tớ đi mà...,translated_meaning_batch02,
