file_offset,source_jp_scanner,vi_full,status,notes
0x35DED,にグッピーをくれたこともある｛      のだが、まさかそのグッピーが｛      ザリガニにたべ｛,"...mấy chú cá bảy màu, nhưng đâu ngờ những chú cá ấy...",translated_quiz_batch02,
0x35E50,られたとはしる｛      よしもない。｛,...lại bị tôm càng ăn mất.,translated_quiz_batch02,
0x35E93,クラスのものしりはかせ、｛      長山くんの、からだのよわい    ｛,"Nagayama-kun, ""nhà bác học"" hiểu biết nhất lớp, có một cô em gái sức khỏe yếu...",translated_quiz_batch02,
0x35EDE,いもうとのなまえはなんて    ｛      いうの？｛,...cô bé tên là gì?,translated_quiz_batch02,
0x35F17,小春｛,Koharu,translated_quiz_batch02,
0x35F22,千夏｛,Chinatsu,translated_quiz_batch02,
0x35F2D,千秋｛,Chiaki,translated_quiz_batch02,
0x35F38,しぜんや、むしにくわしくて、｛      あの花輪くんもいちもくおいて｛      いる長山くんには、小春ちゃん｛,"Nagayama-kun hiểu rất rõ thiên nhiên và côn trùng, đến Hanawa-kun cũng phải nể. Cậu có một cô em gái tên Koharu...",translated_quiz_batch02,
0x35FA9,というからだのよわいいもうと｛      がいる。彼はそのいもうとを  ｛      とてもたいせつに｛,...vốn có sức khỏe yếu. Nagayama-kun rất thương em gái...,translated_quiz_batch02,
0x3600E,するよき兄でも  ｛      あるのだった。  ｛,...và là một người anh đáng tin cậy.,translated_quiz_batch02,
0x36057,大野くんと杉山くんが、となり｛      町のあばれんぼうをやっつけた｛,Ono-kun và Sugiyama-kun đã đánh bại mấy cậu quậy phá ở thị trấn bên...,translated_quiz_batch02,
0x360A4,のはなんていう公園？    ｛,...tại công viên nào?,translated_quiz_batch02,
0x360C9,なみき公園｛,Công viên Namiki,translated_quiz_batch02,
