file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1CEF4,  さくらさんっっ  あなたが｛  ここまで  残っていたとは…｛  信じられません｛  ▼,80,Sakura-san! Không ngờ bạn còn trụ tới đây... thật khó tin.,translated_meaning_batch03,
0x1CF56,  ヘーイ                          ｛  強いレディーも  ステキだよ      ｛  セニョリータ                    ｛,108,"Hey, một lady mạnh mẽ cũng tuyệt lắm, señorita.",translated_meaning_batch03,
0x1CFCC,  ほんとうに  さいごに  なったね｛  がんばろうね｛  ▼,54,Cuối cùng thật sự tới lượt cuối rồi nhỉ. Cố lên nhé.,translated_meaning_batch03,
0x1D014,  ズバリ  あなたが  今まで        ｛  勝ち進んだのは  まぐれだという  ｛  事を  お教えしましょう！        ｛,108,Nói thẳng ra! Tôi sẽ cho bạn biết việc bạn thắng tới giờ chỉ là ăn may!,translated_meaning_batch03,
0x1D08A,  みんな  がんばってね｛  ▼,28,Mọi người cố lên nhé.,translated_meaning_batch03,
0x1D0B0,  うん  おうえんしてるよ｛,26,"Ừ, tớ đang cổ vũ đây.",translated_meaning_batch03,
0x1D0CF,  「う  うん｛    ほんとうに  これが｛    さいごなんだよね…？」｛,66,Ừ... đây thật sự là lần cuối đúng không...?,translated_meaning_batch03,
0x1D11B,  さいご？                        ｛  じゃあ  おわり？                ｛  じゃあ  さよならってこと…？    ｛  ▼,112,Cuối cùng? Vậy là hết à? Vậy là phải chia tay sao...?,translated_meaning_batch03,
0x1D190,  わしゃ  いやじゃー              ｛  さよならなんて  いやじゃーっ    ｛,72,"Ông không chịu đâu! Chia tay gì chứ, ông không chịu!",translated_meaning_batch03,
0x1D1E0,  「おじーちゃん                  ｛    なに  カンちがいしてるの？」  ｛,72,"Ông ơi, ông đang hiểu lầm gì vậy?",translated_meaning_batch03,
0x1D22D,  「友蔵も  なぜこんなに｛    ないているのか｛    わからなくなっていた…」｛,76,Tomozou cũng chẳng còn biết vì sao mình đang khóc nữa...,translated_meaning_batch03,
