file_offset,vi_full,status
0x19145,"Ừ, nhưng thi với Tama-chan thì... tớ thấy áy náy sao ấy.",translated_meaning_batch01
0x191A3,Maru-chan! Nếu cứ để tình cảm lấn át thì cậu sẽ không tới được hòn đảo phương Nam đâu!,translated_meaning_batch01
0x19222,Ta-Tama-chan...,translated_meaning_batch01
0x1924B,Cô ấy nghiêm túc thật... Maruko hơi run trước quyết tâm của Tamae...,translated_meaning_batch01
0x192C1,"Tama-chan, cậu ổn chứ? Xin lỗi nhé.",translated_meaning_batch01
0x19317,"Ừ, tớ không sao. Khi thi với mọi người cũng cố lên nhé.",translated_meaning_batch01
0x19351,Ừ! Tớ có cảm giác hòn đảo phương Nam đã gần hơn hẳn rồi.,translated_meaning_batch01
0x193B0,Còn hơi sớm để nói thế đó.,translated_meaning_batch01
0x193EE,Nếu cậu thua cả tớ thì làm sao thắng được người khác!,translated_meaning_batch01
0x1943A,"Ừ, tớ luyện chưa đủ. Về gội đầu rồi làm lại từ đầu thôi.",translated_meaning_batch01
0x1947B,Phải là “rửa mặt rồi làm lại từ đầu” mới đúng chứ...,translated_meaning_batch01
0x194CF,Khổ ghê...,translated_meaning_batch01
0x19500,"Hey, tớ không thích so tài với các quý cô lắm đâu.",translated_meaning_batch01
0x1957A,Vậy cho tớ qua luôn đi.,translated_meaning_batch01
0x1959C,Thế thì không tốt cho cậu đâu. Cứ coi đây là chút nghiêm khắc vì thương cậu nhé.,translated_meaning_batch01
0x195FF,Kiểu yêu thương gì mà khó ưa thế.,translated_meaning_batch01
0x19620,"Hay quá! Thắng Hanawa-kun rồi, hí hí!",translated_meaning_batch01
0x19679,"Baby, tớ vốn yếu lòng trước các quý cô mà.",translated_meaning_batch01
0x196F2,"Aaa, tức quá! Thua Hanawa-kun rồi!",translated_meaning_batch01
0x19748,"Tiếc thật đấy, baby.",translated_meaning_batch01
0x1975F,Baby.,translated_meaning_batch01
0x19776,Nói thẳng ra!! Giờ so tài đã tới!,translated_meaning_batch01
0x197CC,"Nè, nhường tớ đi mà~",translated_meaning_batch01
0x197F8,Hả!? Cậu nói gì cơ!?,translated_meaning_batch01
0x19821,"Nói thẳng ra, như thế là ăn gian!",translated_meaning_batch01
0x1984E,"Với tư cách lớp trưởng, tôi không thể làm ngơ chuyện gian lận! Nào, thi đấu!",translated_meaning_batch01
0x198BF,Maruko vừa đổ thêm dầu vào lửa...,translated_meaning_batch01
0x1990C,A ha... ha...,translated_meaning_batch01
0x1992C,Hóa ra người xứng đáng đi trao đổi là tớ nhỉ!,translated_meaning_batch01
0x19976,Tôi mà thua Sakura-san ư!? Maruo Sueo này...,translated_meaning_batch01
0x199A7,...một đời ôm hận mất!! Khụ... mẹ ơi... con... con...,translated_meaning_batch01
0x19A26,"Trời ạ, làm quá ghê.",translated_meaning_batch01
0x19A55,Nói thẳng ra!! Chính nghĩa lúc nào cũng chiến thắng!,translated_meaning_batch01
0x19AAE,Hứ! Bầu lớp trưởng lần tới tớ không bầu cho cậu nữa...,translated_meaning_batch01
0x19AFD,HẢAAAA!! Cái gì cơ!! Trời ạ...,translated_meaning_batch01
0x19B75,Nói thẳng ra!! Tôi vẫn chưa công nhận cậu là đại diện đâu!,translated_meaning_batch01
0x19BEF,Tớ không cần cậu công nhận cũng được mà.,translated_meaning_batch01
0x19C38,Hê hê hê...,translated_meaning_batch01
0x19C6A,Gì vậy! Cậu làm tớ nổi da gà đó.,translated_meaning_batch01
0x19CA2,"Hey, lại gặp nhau rồi, baby. Nếu cậu đã muốn đến thế thì tớ xin tiếp cậu.",translated_meaning_batch01
0x19D1C,Tớ có nói gì đâu...,translated_meaning_batch01
0x19D4A,Chuẩn bị tinh thần chưa...?,translated_meaning_batch01
0x19D7F,Hay quá! Thắng rồi! Tớ cũng ghê gớm phết nhỉ.,translated_meaning_batch01
0x19DF5,Sakura hình như thắng cả Maruo-kun lẫn Hanawa-kun rồi đó.,translated_meaning_batch01
0x19E3B,"Ừ, ghê thật.",translated_meaning_batch01
0x19E5B,Cậu thật sự nghĩ vậy sao?,translated_meaning_batch01
0x19E93,Thế không phải là ghê à?,translated_meaning_batch01
0x19EC5,Tớ không muốn làm đại diện tới mức phải bắt bạn bè khổ sở đâu... Làm người như thế tệ thật.,translated_meaning_batch01
0x19F3F,"Ra vậy, Nagasawa-kun nói cũng đúng.",translated_meaning_batch01
0x19F8F,Mình đúng là...,translated_meaning_batch01
0x19FC0,"Baby, cậu có bị đau đâu không? Tớ lỡ mạnh tay quá rồi.",translated_meaning_batch01
0x1A038,Nói thẳng ra!! Cậu còn thiếu thực lực!,translated_meaning_batch01
0x1A085,"Đã thua họ rồi, lại còn bị nói tới mức này...",translated_meaning_batch01
0x1A0C2,...mình đúng là...,translated_meaning_batch01
0x1A0ED,Khổ ghê...,translated_meaning_batch01
0x1A11B,Sakura-san!! Tôi vẫn chưa chịu đâu!,translated_meaning_batch01
0x1A161,Thì tớ có cần cậu chịu đâu...,translated_meaning_batch01
0x1A18F,Lần này tôi sẽ cùng Honami-san...,translated_meaning_batch01
0x1A1B0,...hai người bọn tôi sẽ thi đấu với cậu!,translated_meaning_batch01
0x1A1EA,Hả!?,translated_meaning_batch01
0x1A216,Hê hê hê...,translated_meaning_batch01
0x1A24B,"Maru-chan, cậu mạnh ghê!",translated_meaning_batch01
0x1A27D,Có khi tớ mạnh thật ấy chứ...,translated_meaning_batch01
0x1A2B4,"Hey, cậu cũng khá lắm đó.",translated_meaning_batch01
0x1A30A,Tớ là cô gái cũng ra gì phết đấy chứ.,translated_meaning_batch01
0x1A334,A ha ha! Thắng rồi!,translated_meaning_batch01
0x1A388,"Con gái mạnh quá thì sau này khó lấy chồng lắm đấy... đùa thôi, đùa thôi!",translated_meaning_batch01
0x1A402,Tớ... sẽ không lấy chồng được sao...?,translated_meaning_batch01
0x1A43F,Nói thẳng ra!! Đây mới là con người thật của tôi!,translated_meaning_batch01
0x1A49A,"Đau lòng đấy, nhưng đây là thực tế mà.",translated_meaning_batch01
0x1A4DF,"Maru-chan, cậu ổn không?",translated_meaning_batch01
0x1A511,Ừ... chắc việc này hơi quá sức tớ. Về nhà xem TV rồi ngủ thôi.,translated_meaning_batch01
0x1A580,Từ bỏ hòn đảo phương Nam chỉ vì TV... cô nàng này rốt cuộc là sao vậy...,translated_meaning_batch01
0x1A5CA,Mình đúng là... đúng là...,translated_meaning_batch01
