file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x35562,"つよいせきにんかんと、大きな声でクラスをひっぱる","Với tinh thần trách nhiệm cao và giọng nói oang oang dẫn dắt cả lớp...","Maruo-kun có tinh thần trách nhiệm cao, giọng lại oang oang, luôn dẫn dắt cả lớp...","Bổ sung chủ thể để câu Việt không lửng","quiz_batch02_part1_vi.csv"
0x355AF,"丸尾くんの、いつもキラリと光るそのメガネは、ズバリ！みぎまき","...chiếc kính lúc nào cũng sáng loáng của Maruo-kun, nói thẳng ra, xoắn theo chiều kim đồng hồ.","...chiếc kính lúc nào cũng lóe sáng của Maruo-kun, nói thẳng ra, xoáy sang phải.","みぎまき là xoáy sang phải; tránh suy rộng thành chiều kim đồng hồ","quiz_batch02_part1_vi.csv"
0x35633,"クラスメイトのみぎわさん。ほんめいは花輪くんだが、その","Migiwa-san là bạn cùng lớp. Người cô bé mê nhất là Hanawa-kun, nhưng trong nhóm bạn của cậu ấy...","Migiwa-san là bạn cùng lớp với Maruko. Người trong mộng của cô bé là Hanawa-kun, nhưng trong nhóm bạn cậu ấy...","ほんめい mang sắc thái mục tiêu tình cảm chính; câu Việt tự nhiên hơn","quiz_batch02_part1_vi.csv"
0x35680,"ともだちにもかっこいい男の子が…。さて、そのなまえは？","...còn có một cậu con trai rất bảnh. Cậu ấy tên gì?","...cũng có một cậu bạn rất đẹp trai... Cậu ấy tên gì?","Tự nhiên hơn trong câu đố","quiz_batch02_part1_vi.csv"
0x356F4,"花輪くんひとすじのみぎわさんだが、花輪くんのともだちマークにもときめいてしまうの","Migiwa-san một lòng với Hanawa-kun, vậy mà cũng từng rung rinh trước Mark, bạn của Hanawa-kun.","Migiwa-san một lòng một dạ với Hanawa-kun, thế mà cũng từng rung động trước Mark, bạn của cậu ấy.","Mượt hơn và tránh lặp tên","quiz_batch02_part1_vi.csv"
0x35763,"だった。でも、やっぱり、花輪くんとなかのいい女の子は彼女のこうげきをうける。","Nhưng rốt cuộc, cô gái nào thân thiết với Hanawa-kun cũng dễ trở thành mục tiêu của cô bé...","Nhưng dù vậy, cô gái nào thân với Hanawa-kun cũng vẫn phải hứng đòn ghen của cô bé...","Khôi phục sắc thái hài của こうげき trong ngữ cảnh ghen tuông","quiz_batch02_part1_vi.csv"
0x35813,"インパクトのあるみどりちゃんだが、","Midori-chan là một cô bé có cá tính rất mạnh...","Midori-chan là một cô bé cực kỳ gây ấn tượng...","インパクト là ấn tượng mạnh, không nhất thiết là cá tính mạnh","quiz_batch02_part1_vi.csv"
0x3584C,"まる子とはいったいどういうかんけい？","...vậy cô bé có quan hệ thế nào với Maruko?","...vậy rốt cuộc cô bé có quan hệ gì với Maruko?","Câu hỏi tự nhiên hơn","quiz_batch02_part2_vi.csv"
0x35911,"みどり。おじいちゃんのしりあいの子で、インパクトがこい。","Cô bé là con của một người quen của ông Tomozo, và cá tính thì đậm khỏi bàn.","Cô bé là con của một người quen của ông Tomozo, lại thuộc kiểu gặp một lần là khó quên.","Diễn đạt tự nhiên hơn cho インパクトがこい, tránh 'cá tính đậm' gượng","quiz_batch02_part2_vi.csv"
0x359A3,"ようきな山田くんが、まる子とおじいちゃんに","Yamada-kun vui tính suýt bị Maruko và ông của cô bé...","Yamada-kun vui tính từng suýt bị Maruko và ông Tomozo...","Làm rõ referent của おじいちゃん","quiz_batch02_part2_vi.csv"
0x359E2,"だまされそうになったのは何の日？","...lừa vào ngày nào?","...lừa vào ngày gì?","Câu hỏi tiếng Việt tự nhiên hơn","quiz_batch02_part2_vi.csv"
0x35AC3,"るのだが、山田くんがまる子をしんじる心にうたれ、うそを","...nhưng trước tấm lòng tin tưởng Maruko của cậu ấy, cả hai lại thấy áy náy...","...nhưng thấy Yamada-kun tin Maruko hết lòng, hai ông cháu lại cảm động...","Sửa nghĩa: 心にうたれ là cảm động/xúc động, không phải áy náy","quiz_batch02_part2_vi.csv"
0x35B4F,"ねくらな少年、山根くんが、あつくなれる大ファンの","Yamane-kun vốn trầm lặng, nhưng lại là fan cuồng của một nghệ sĩ...","Yamane-kun vốn u ám, nhưng có một nghệ sĩ khiến cậu mê đến mức sôi nổi hẳn lên...","Khôi phục đối lập hài giữa ねくら và あつくなれる","quiz_batch02_part2_vi.csv"
0x35C63,"でもじつは、年よりにもやさしく、けんきょな、できた","Thật ra cậu còn rất tốt bụng với người lớn tuổi, khiêm tốn và...","Nhưng thật ra cậu rất tử tế với người lớn tuổi, lại khiêm tốn và...","Nhịp câu Việt tự nhiên hơn","quiz_batch02_part2_vi.csv"
0x35CB2,"人なのである。","...là một cậu bé rất tử tế.","...là một cậu bé rất đàng hoàng.","Tránh lặp 'tử tế' với mệnh đề ngay trước; できた人 mang nghĩa người đáng quý/đàng hoàng","quiz_batch02_part2_vi.csv"
0x35DED,"にグッピーをくれたこともあるのだが、まさかそのグッピーがザリガニにたべ","...mấy chú cá bảy màu, nhưng đâu ngờ những chú cá ấy...","...mấy chú cá bảy màu. Nào ngờ những chú cá ấy lại...","Tách câu tự nhiên hơn","quiz_batch02_part2_vi.csv"
0x35E50,"られたとはしるよしもない。","...lại bị tôm càng ăn mất.","...bị tôm càng ăn mất, chuyện mà Yoshiko-san chẳng hề có cách nào biết được.","Khôi phục ý しるよしもない bị rơi khỏi bản trước","quiz_batch02_part2_vi.csv"
0x35E93,"クラスのものしりはかせ、長山くんの、からだのよわい","Nagayama-kun, ""nhà bác học"" hiểu biết nhất lớp, có một cô em gái sức khỏe yếu...","Nagayama-kun, ""nhà bác học"" am hiểu nhất lớp, có một cô em gái hay đau ốm...","Tự nhiên hơn trong tiếng Việt","quiz_batch02_part2_vi.csv"
0x35F38,"しぜんや、むしにくわしくて、あの花輪くんもいちもくおいている長山くんには、小春ちゃん","Nagayama-kun hiểu rất rõ thiên nhiên và côn trùng, đến Hanawa-kun cũng phải nể. Cậu có một cô em gái tên Koharu...","Nagayama-kun rất rành thiên nhiên và côn trùng, đến Hanawa-kun cũng phải nể cậu. Cậu có một cô em gái tên Koharu...","Giọng thuyết minh tự nhiên hơn","quiz_batch02_part2_vi.csv"
0x35FA9,"というからだのよわいいもうとがいる。彼はそのいもうとをとてもたいせつに","...vốn có sức khỏe yếu. Nagayama-kun rất thương em gái...","...vốn hay đau ốm. Nagayama-kun rất thương cô em gái ấy...","Mượt hơn và tránh lặp tên","quiz_batch02_part2_vi.csv"
0x3600E,"するよき兄でもあるのだった。","...và là một người anh đáng tin cậy.","...và cũng là một người anh rất tốt.","よき兄 là người anh tốt; bản cũ suy thêm 'đáng tin cậy'","quiz_batch02_part2_vi.csv"
0x36307,"くらくて、気の小さい少年、藤木くんのとくいなスポーツってなに？","Fujiki-kun vốn u ám và nhút nhát. Môn thể thao cậu ấy giỏi là gì?","Fujiki-kun vốn u ám và nhút nhát. Cậu ấy giỏi môn thể thao nào?","Câu hỏi tự nhiên hơn","quiz_batch02_part3_vi.csv"
0x364B1,"１かいだて。これはきほんだから、わすれ","...nhà một tầng. Đây là kiến thức cơ bản đấy, đừng...","...nhà một tầng. Đây là kiến thức cơ bản đó, đừng...","Bớt giọng sách vở","quiz_batch02_part3_vi.csv"
0x36519,"ヒデじいがいつも花輪君をのせている車ってなんていう車？","Chiếc xe Hideji thường dùng để chở Hanawa-kun là xe gì?","Hideji thường chở Hanawa-kun bằng loại xe gì?","Gọn và tự nhiên hơn","quiz_batch02_part3_vi.csv"
0x3679D,"まる子やたまちゃんがよく行くだがし屋さんのなまえは？","Tiệm quà vặt mà Maruko và Tama-chan thường ghé tên là gì?","Tiệm bánh kẹo mà Maruko và Tama-chan thường ghé tên là gì?","だがし屋 là tiệm bánh kẹo/đồ ăn vặt giá rẻ, không phải 'quà vặt'","quiz_batch02_part3_vi.csv"
0x368D8,"のお店なのである。","...gắn bó chẳng thể tách rời với cả nhóm.","...không thể thiếu đối với nhóm Maruko.","Tự nhiên hơn cho 切っても切れないあいだがら","quiz_batch02_part3_vi.csv"
