unicode,code_hex,glyph_id_hex,glyph_source,visual_key,notes
Ấ,84B1,0928,custom,Ấ,font V2 handcrafted pixel glyph
ấ,84B2,0929,custom,ấ,font V2 handcrafted pixel glyph
Ầ,84B3,092A,custom,Ầ,font V2 handcrafted pixel glyph
ầ,84B4,092B,custom,ầ,font V2 handcrafted pixel glyph
ẩ,84B5,092C,custom,ẩ,font V2 handcrafted pixel glyph
ẫ,84B6,092D,custom,ẫ,font V2 handcrafted pixel glyph
Ậ,84B7,092E,custom,Ậ,font V2 handcrafted pixel glyph
ậ,84B8,092F,custom,ậ,font V2 handcrafted pixel glyph
ắ,84B9,0930,custom,ắ,font V2 handcrafted pixel glyph
ẳ,84BA,0931,custom,ẳ,font V2 handcrafted pixel glyph
ặ,84BB,0932,custom,ặ,font V2 handcrafted pixel glyph
ẹ,84BC,0933,custom,ẹ,font V2 handcrafted pixel glyph
ẻ,84BD,0934,custom,ẻ,font V2 handcrafted pixel glyph
ẽ,84BE,0935,custom,ẽ,font V2 handcrafted pixel glyph
ế,84BF,0936,custom,ế,font V2 handcrafted pixel glyph
ề,84C0,0937,custom,ề,font V2 handcrafted pixel glyph
ể,84C1,0938,custom,ể,font V2 handcrafted pixel glyph
ễ,84C2,0939,custom,ễ,font V2 handcrafted pixel glyph
ệ,84C3,093A,custom,ệ,font V2 handcrafted pixel glyph
ỉ,84C4,093B,custom,ỉ,font V2 handcrafted pixel glyph
ị,84C5,093C,custom,ị,font V2 handcrafted pixel glyph
ọ,84C6,093D,custom,ọ,font V2 handcrafted pixel glyph
ỏ,84C7,093E,custom,ỏ,font V2 handcrafted pixel glyph
ố,84C8,093F,custom,ố,font V2 handcrafted pixel glyph
Ồ,84C9,0940,custom,Ồ,font V2 handcrafted pixel glyph
ồ,84CA,0941,custom,ồ,font V2 handcrafted pixel glyph
Ổ,84CB,0942,custom,Ổ,font V2 handcrafted pixel glyph
ổ,84CC,0943,custom,ổ,font V2 handcrafted pixel glyph
ỗ,84CD,0944,custom,ỗ,font V2 handcrafted pixel glyph
ộ,84CE,0945,custom,ộ,font V2 handcrafted pixel glyph
Ớ,84CF,0946,custom,Ớ,font V2 handcrafted pixel glyph
ớ,84D0,0947,custom,ớ,font V2 handcrafted pixel glyph
ờ,84D1,0948,custom,ờ,font V2 handcrafted pixel glyph
ở,84D2,0949,custom,ở,font V2 handcrafted pixel glyph
ỡ,84D3,094A,custom,ỡ,font V2 handcrafted pixel glyph
ợ,84D4,094B,custom,ợ,font V2 handcrafted pixel glyph
ụ,84D5,094C,custom,ụ,font V2 handcrafted pixel glyph
Ủ,84D6,094D,custom,Ủ,font V2 handcrafted pixel glyph
ủ,84D7,094E,custom,ủ,font V2 handcrafted pixel glyph
ứ,84D8,094F,custom,ứ,font V2 handcrafted pixel glyph
Ừ,84D9,0950,custom,Ừ,font V2 handcrafted pixel glyph
ừ,84DA,0951,custom,ừ,font V2 handcrafted pixel glyph
ử,84DB,0952,custom,ử,font V2 handcrafted pixel glyph
ữ,84DC,0953,custom,ữ,font V2 handcrafted pixel glyph
ự,84DD,0954,custom,ự,font V2 handcrafted pixel glyph
ỳ,84DE,0955,custom,ỳ,font V2 handcrafted pixel glyph
ỷ,84DF,0956,custom,ỷ,font V2 handcrafted pixel glyph
ỹ,84E0,0957,custom,ỹ,font V2 handcrafted pixel glyph
