unicode,code_hex,glyph_id_hex,glyph_source,visual_key,notes
ũ,84A9,0920,custom,ũ,FE4 Vietnamese native-width transfer V4
Ơ,84AA,0921,custom,Ơ,FE4 Vietnamese native-width transfer V4
ơ,84AB,0922,custom,ơ,FE4 Vietnamese native-width transfer V4
Ư,84AC,0923,custom,Ư,FE4 Vietnamese native-width transfer V4
ư,84AD,0924,custom,ư,FE4 Vietnamese native-width transfer V4
ạ,84AE,0925,custom,ạ,FE4 Vietnamese native-width transfer V4
Ả,84AF,0926,custom,Ả,FE4 Vietnamese native-width transfer V4
ả,84B0,0927,custom,ả,FE4 Vietnamese native-width transfer V4
Ấ,84B1,0928,custom,Ấ,FE4 Vietnamese native-width transfer V4
ấ,84B2,0929,custom,ấ,FE4 Vietnamese native-width transfer V4
Ầ,84B3,092A,custom,Ầ,FE4 Vietnamese native-width transfer V4
ầ,84B4,092B,custom,ầ,FE4 Vietnamese native-width transfer V4
ẩ,84B5,092C,custom,ẩ,FE4 Vietnamese native-width transfer V4
ẫ,84B6,092D,custom,ẫ,FE4 Vietnamese native-width transfer V4
Ậ,84B7,092E,custom,Ậ,FE4 Vietnamese native-width transfer V4
ậ,84B8,092F,custom,ậ,FE4 Vietnamese native-width transfer V4
ắ,84B9,0930,custom,ắ,FE4 Vietnamese native-width transfer V4
ẳ,84BA,0931,custom,ẳ,FE4 Vietnamese native-width transfer V4
ặ,84BB,0932,custom,ặ,FE4 Vietnamese native-width transfer V4
ẹ,84BC,0933,custom,ẹ,FE4 Vietnamese native-width transfer V4
ẻ,84BD,0934,custom,ẻ,FE4 Vietnamese native-width transfer V4
ẽ,84BE,0935,custom,ẽ,FE4 Vietnamese native-width transfer V4
ế,84BF,0936,custom,ế,FE4 Vietnamese native-width transfer V4
ề,84C0,0937,custom,ề,FE4 Vietnamese native-width transfer V4
ể,84C1,0938,custom,ể,FE4 Vietnamese native-width transfer V4
ễ,84C2,0939,custom,ễ,FE4 Vietnamese native-width transfer V4
ệ,84C3,093A,custom,ệ,FE4 Vietnamese native-width transfer V4
ỉ,84C4,093B,custom,ỉ,FE4 Vietnamese native-width transfer V4
ị,84C5,093C,custom,ị,FE4 Vietnamese native-width transfer V4
ọ,84C6,093D,custom,ọ,FE4 Vietnamese native-width transfer V4
ỏ,84C7,093E,custom,ỏ,FE4 Vietnamese native-width transfer V4
ố,84C8,093F,custom,ố,FE4 Vietnamese native-width transfer V4
Ồ,84C9,0940,custom,Ồ,FE4 Vietnamese native-width transfer V4
ồ,84CA,0941,custom,ồ,FE4 Vietnamese native-width transfer V4
Ổ,84CB,0942,custom,Ổ,FE4 Vietnamese native-width transfer V4
ổ,84CC,0943,custom,ổ,FE4 Vietnamese native-width transfer V4
ỗ,84CD,0944,custom,ỗ,FE4 Vietnamese native-width transfer V4
ộ,84CE,0945,custom,ộ,FE4 Vietnamese native-width transfer V4
Ớ,84CF,0946,custom,Ớ,FE4 Vietnamese native-width transfer V4
ớ,84D0,0947,custom,ớ,FE4 Vietnamese native-width transfer V4
ờ,84D1,0948,custom,ờ,FE4 Vietnamese native-width transfer V4
ở,84D2,0949,custom,ở,FE4 Vietnamese native-width transfer V4
ỡ,84D3,094A,custom,ỡ,FE4 Vietnamese native-width transfer V4
ợ,84D4,094B,custom,ợ,FE4 Vietnamese native-width transfer V4
ụ,84D5,094C,custom,ụ,FE4 Vietnamese native-width transfer V4
Ủ,84D6,094D,custom,Ủ,FE4 Vietnamese native-width transfer V4
ủ,84D7,094E,custom,ủ,FE4 Vietnamese native-width transfer V4
ứ,84D8,094F,custom,ứ,FE4 Vietnamese native-width transfer V4
Ừ,84D9,0950,custom,Ừ,FE4 Vietnamese native-width transfer V4
ừ,84DA,0951,custom,ừ,FE4 Vietnamese native-width transfer V4
ử,84DB,0952,custom,ử,FE4 Vietnamese native-width transfer V4
ữ,84DC,0953,custom,ữ,FE4 Vietnamese native-width transfer V4
ự,84DD,0954,custom,ự,FE4 Vietnamese native-width transfer V4
ỳ,84DE,0955,custom,ỳ,FE4 Vietnamese native-width transfer V4
ỷ,84DF,0956,custom,ỷ,FE4 Vietnamese native-width transfer V4
ỹ,84E0,0957,custom,ỹ,FE4 Vietnamese native-width transfer V4
